;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
162;PROCESSING_ACPS_NATAL;POLICIES_wage;1.0;0.0;0.0;1.0;0.28207964601769914;0.4500119101981954;5424;1530
163;PROCESSING_ACPS_NATAL;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16621450533550372;0.37227307658703646;5529;919
164;PROCESSING_ACPS_PELOTAS - RIO GRANDE;POLICIES_buy;0.0;0.0;0.0;0.0;0.027726432532347505;0.16418793339151538;5410;150
165;PROCESSING_ACPS_PELOTAS - RIO GRANDE;POLICIES_rent;1.0;0.0;0.0;1.0;0.2882144851982871;0.4529314470426772;5371;1548
166;PROCESSING_ACPS_PELOTAS - RIO GRANDE;POLICIES_wage;1.0;0.0;0.0;1.0;0.29287995491264324;0.45508382406212955;5323;1559
167;PROCESSING_ACPS_PELOTAS - RIO GRANDE;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1858423266873971;0.38897937772947794;5467;1016
168;PROCESSING_ACPS_PETROLINA - JUAZEIRO;POLICIES_buy;0.0;0.0;0.0;0.0;0.04139194139194139;0.1991950013924734;5460;226
169;PROCESSING_ACPS_PETROLINA - JUAZEIRO;POLICIES_rent;1.0;0.0;0.0;1.0;0.27269359021859946;0.4453445812764426;5398;1472
170;PROCESSING_ACPS_PETROLINA - JUAZEIRO;POLICIES_wage;1.0;0.0;0.0;1.0;0.27355401964350673;0.44578270264825964;5498;1504
171;PROCESSING_ACPS_PETROLINA - JUAZEIRO;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.18106004447739066;0.3850679222828564;5396;977
172;PROCESSING_ACPS_RIBEIRAO PRETO;POLICIES_buy;0.0;0.0;0.0;0.0;0.01800450112528132;0.13296743610565356;5332;96
173;PROCESSING_ACPS_RIBEIRAO PRETO;POLICIES_rent;1.0;0.0;0.0;1.0;0.2827739662525496;0.4503474772465718;5393;1525
174;PROCESSING_ACPS_RIBEIRAO PRETO;POLICIES_wage;1.0;0.0;0.0;1.0;0.28244824482448244;0.4501902195961742;5555;1569
175;PROCESSING_ACPS_RIBEIRAO PRETO;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.160844386325425;0.3673873564958686;5353;861
176;PROCESSING_ACPS_RIO DE JANEIRO;POLICIES_buy;1.0;0.0;0.0;1.0;0.27264509130356174;0.4453198238251181;5531;1508
177;PROCESSING_ACPS_RIO DE JANEIRO;POLICIES_rent;1.0;0.0;0.0;1.0;0.2848923533778768;0.4513631579611829;5388;1535
178;PROCESSING_ACPS_RIO DE JANEIRO;POLICIES_wage;1.0;0.0;0.0;1.0;0.2871378483114966;0.4524264629512078;5419;1556
179;PROCESSING_ACPS_RIO DE JANEIRO;POLICIES_no_policy;1.0;0.0;0.0;1.0;0.2737772965168742;0.4458960511473338;5541;1517
180;PROCESSING_ACPS_SANTOS;POLICIES_buy;0.0;0.0;0.0;0.0;0.011891694109037688;0.10839871641423975;5466;65
181;PROCESSING_ACPS_SANTOS;POLICIES_rent;1.0;0.0;0.0;1.0;0.27867633389105784;0.4483478948540938;5379;1499
182;PROCESSING_ACPS_SANTOS;POLICIES_wage;1.0;0.0;0.0;1.0;0.28288876791870804;0.45040283403209547;5511;1559
183;PROCESSING_ACPS_SANTOS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.14673404454426353;0.3538405922388578;5343;784
184;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;POLICIES_buy;0.0;0.0;0.0;0.0;0.03110944527736132;0.17361350089176875;5336;166
185;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;POLICIES_rent;1.0;0.0;0.0;1.0;0.26952187557688756;0.44371143118293027;5417;1460
186;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;POLICIES_wage;1.0;0.0;0.0;1.0;0.2861050328227571;0.45193909215318623;5484;1569
187;PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17232375979112272;0.37766159667429006;5362;924
